0.,19223.,19231.,28840.,28840.   N I EN (cm^{-3})
6.13E-6,2.28E-5,6.6E-3,.00272,1.24E-8,.0559,.0314,.0252,.0529,0. NI EA
0.,0.,0.,0.,.93,0.,0.,0.,0.,.18  N I OMEGAS
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.    NI omexp's
4.,6.,4.,2.,4.  N I SW
0.,48.7,130.8,15316.,32687. N II EN
2.1E-6,0.,5.4E-7,0.,7.4E-6,.00101,.034,.003,.00015,1.12 NII EA
.408,.272,.293,.0326,1.12,.88,.098,1.47,.163,.834   NII OM
.137,.162,.039,.030,.149,.039,.030,.039,.030,-0.224  NII omexp's
1.,3.,5.,5.,1.        N II SW
0.,158.5,226.5,15867.7,33792.4  O I EN
8.92E-5,0.,.00634,2.88E-4,1.74E-5,2.11E-3,.0732,7.23E-7,0.,1.22 O I EA
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.  OI OM
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.    OI omexp's
5.,3.,1.,5.,1.  O I SW
0.,26808.,26829.,40467.,40468.  O II EN
3.50E-5,1.79E-4,.0570,.0234,1.3E-7,.107,.0578,.0615,.102,2.08E-11 OII EA
.795,.530,.265,.135,1.17,.730,.287,.401,.275,.287  0II OM
0.010,.01,.027,.022,-.060,.024,.025,.025,.026,.036  OII omexp's
4.,6.,4.,4.,2.  O II SW
0.,113.4,306.8,20271.,43072.  O III EN
2.62E-5,3.E-11,2.74E-6,0.,9.76E-5,.00674,.223,.0196,.000785,1.78  OIII EA
.545,.271,.254,.033,1.29,.763,.097,1.27,.163,.582 O III OM
.057,.071,.10,.11,.069,.10,.11,.10,.11,.24  OIII omexp's
1.,3.,5.,5.,1.  O III SW
0.,643.,920.5,25841.,55751.  NE III 
.00597,2.18E-8,.171,.00394,.00115,.0542,2.,8.51E-6,0.,2.71 NE III EA
.774,.208,.754,.084,.244,.452,.050,.151,.017,.269 NE III 0M 
.598,.033,.02,.162,.08,.02,.162,.02,.162,.176  NE III omexp's
5.,3.,1.,5.,1.  NE III SW
0.,14851.9,14883.4,24524.2,24572.8  S II EN
8.8E-4,2.6E-4,.0906,.225,3.4E-7,.163,.133,.0779,.179,1.E-6   S II EA
3.11,4.66,.897,2.07,7.46,1.76,2.74,1.99,4.77,2.54 S II OM
-.072,-.072,.11,.31,-.083,-.322,-.315,-.312,-.314,.33  S II omexp's
4.,4.,6.,2.,4.  S II SW
0.,297.2,832.5,11320.,27163.  S III EN
4.72E-4,4.61E-8,5.8E-6,0.,2.07E-3,.0221,.796,.0576,.0105,2.22 S III EA
2.59,1.15,.933,.132,5.81,2.8,.397,4.67,.661,1.88 S III OM
-.03,.05,-.112,-.037,.005,-.112,-.037,-.112,-.037,.4 S III omexp's
1.,3.,5.,5.,1.  S III SW
0.,63.42,43003.,43025., 43053.6                        CII EN
2.6e-6,70.,1.4,0.,63.,9.4,51.,2.4e-7,3.49e-14,3.67e-7  C II EA
2.15,.242,.362,.234,.177,.477,1.02,.824,.853,1.98      C II OM
.19,0.,0.,.03,.025,.015,0.,.32,.22,.24                 C II omexp's
2.,4.,2.,4.,6.                                         C II SW
0.,52367.,52391.,52447.,102352.                        C III EN
0.,121.,.00519,1.79e9,3.00e-7,0.,0.,2.1e-6,0.,0.       C III EA
0.112,.337,0.561,4.34,.911,.677,2.66,0.,0.,0.           C III OM
-.15,-.15,-.15,.17,.10,.23,.17,.01,.01,.01             C III omexp's
1.,1.,3.,5.,3.                                         C III SW
0.,696.9,996.,11656.,27878.  CL II EN
.00757,4.6E-7,.104,.0197,.00146,.0292,1.31,9.9E-6,0.,2.06 CL II EA
2.17,.443,2.14,.253,.933,1.29,.152,.429,.0507,1.15 CL II OM
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.  blank
5. 3. 1. 5. 1. CL II SW
0.  1112.1  1570.2  14010.  33265.7   AR III EN
.0308,2.37E-6,.314,.0417,.00517,.0823,3.91,2.2E-5,0.,2.59 AR III EA
2.24,.531,2.63,.378,1.18,1.58,.227,.527,.0756,.823 AR III OM
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.  blank
5  3  1  5  1  AR III  SW
0.  18058.  18125.1  29820.  29916.  CL III EN
.00483,7.04E-4,.305,.754,3.2E-6,.303,.323,.1,.316,7.7E-6 CL III EA
1.26,1.88,.627,1.26,3.19,1.24,1.91,1.38,3.33,1.34 CL III OM
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.  blank
4.  4.  6.  2.  4.  CL III SW
0. 21090.4 21219.3 34855.5 35032.6 AR IV EN
.0223,.00177,.862,2.11,2.3E-5,.603,.789,.119,.598,4.94E-5 AR IV EA
.570 ,.854,.212,.423,1.35,1.01,1.24,.865,2.5,.601 AR IV OM
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.  blank
4.,4.,6.,2.,4.  AR IV SW



Data are from Pradhan's Web site 3/2003
1.928,.254,.336,.0415,1.09,1.01,.124,1.678,.207,.500   NII OM,Stafford+MN268

